Date,Title,Rating,Link,link_type,Edits (because I don't know how to follow a recipe),Tags
1/24/19,Bruschetta chicken,7,https://thewholecook.com/healthy-bruschetta-chicken/,web,"Quick chicken marinade with honey, balsalmic, seasonings ","tomatoes, basil, whole30"
1/24/19,Pesto potatoes and brussels,6.5,https://thewholecook.com/pesto-potatoes-brussels-sprouts/,web,,"side, basil, whole30"
1/22/19,Roasted garlic and kale spaghetti squash with sun-dried tomatoes,8,https://www.theroastedroot.net/roasted-garlic-kale-spaghetti-squash-sun-dried-tomatoes/,web,"Doubled recipe (except for garlic), roasted the nuts, added a few slices of bacon, lots of lemon and a touch of honey",whole30
1/20/19,<a target=_blank href=other_recipes/pad_krapow_gai.pdf>Pad krapow gai (Thai basil chicken)</a>,8,,local,Bought italian basil instead of Thai-- not a good substitution,"thai, chicken, basil"
1/20/19,Breakfast hash,9,https://www.geniuskitchen.com/recipe/sheet-pan-breakfast-bake-536475,web,"Added fire roasted tomatoes with eggs, served with a ton of hot sauce ","eggs, bacon, whole30"
1/14/19,Steak and arugula salad,9,https://www.familycircle.com/recipe/steak-salad-with-maple-balsamic/,web,Sub honey for maple syrup,
1/12/19,Salt and vinegar potato salad,8.5,https://food52.com/recipes/56901-smoky-salt-and-vinegar-potato-salad,web,Sub smoked paprika for liquid smoke,side 
1/12/19,Breakfast egg muffins,8.5,https://cafedelites.com/breakfast-egg-muffins-3-ways/,web,Can easily make whole or add additional ingredients,"breakfast, whole30"
12/25/18,Ricotta,10,https://www.foodnetwork.com/recipes/anne-burrell/homemade-ricotta-recipe-2014864,web,"sub lemon for vinegar (or mix), can use other ratios of milk and cream",cheese
12/25/18,Lobster ravioli,9,https://www.halfbakedharvest.com/brown-butter-lobster-ravioli-with-tomato-cream-sauce1-pun/,web,,
1/11/19,Cashew chicken,8,https://therecipecritic.com/slow-cooker-cashew-chicken/,web,"made stovetop, once you brown the chicken, add the sauce and simmer until reduced",
12/8/18,Coconut macaroons,7,https://www.tasteofhome.com/recipes/first-place-coconut-macaroons/,web,"My mom makes this recipe, and they're amazing but mine didn't turn out great",
12/23/18,Jamie Oliver roast potatoes,10,https://www.jamieoliver.com/recipes/vegetables-recipes/perfect-roast-potatoes/,web,"Use butter + evoo with rosemary, double vinegar","side, butter, rosemary"
11/11/18,Melting potatoes,7.5,https://spicysouthernkitchen.com/melting-potatoes/,web,,
11/4/18,Greek chicken sheet pan,7.5,https://laughingspatula.com/greek-chicken-sheet-pan-dinner/,web,,
11/1/18,Ragu,8,https://pinchofyum.com/slow-cooker-beef-ragu-with-pappardelle,web,Added tomato paste and extra seasonings,"pasta, tomatoes, beef"
11/1/18,Focaccia,10,https://www.inspiredtaste.net/19313/easy-focaccia-bread-recipe-with-herbs/,web,Adjust pan size to preference (thin vs. thick bread),bread
11/3/18,Chicken marbella,7.5,https://chinesegrandma.com/2013/12/chicken-marbella/,web,,
